Student ID,Student Name,Student Exam,Date
STU201,Aditya Nair,Mathematics,2025-03-05
STU202,Keerthi Menon,Physics,2025-03-07
STU203,Rohit Pillai,Chemistry,2025-03-10
STU204,Anjali Nambiar,Mathematics,2025-03-05
STU205,Kiran Warrier,Physics,2025-03-07
STU206,Meera Kurup,Chemistry,2025-03-10
STU207,Arjun Panicker,Mathematics,2025-03-05
STU208,Devika Nair,Physics,2025-03-07
STU209,Vishnu Menon,Chemistry,2025-03-10
STU210,Lakshmi Pillai,Mathematics,2025-03-05
STU211,Sidharth Nair,Physics,2025-03-07
STU212,Amala Menon,Chemistry,2025-03-10
STU213,Neeraj Warrier,Mathematics,2025-03-05
STU214,Sneha Pillai,Physics,2025-03-07
STU215,Aravind Kurup,Chemistry,2025-03-10
STU216,Nayana Nair,Mathematics,2025-03-05
STU217,Manoj Menon,Physics,2025-03-07
STU218,Diya Warrier,Chemistry,2025-03-10
STU219,Rajesh Pillai,Mathematics,2025-03-05
STU220,Anju Nambiar,Physics,2025-03-07
